,"Leading Destinations of U.S. Study Abroad Students, 2000/01 - 2019/20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000/01,,,,,2001/02,,,,,2002/03,,,,,2003/04,,,,,2004/05,,,,,2005/06,,,,,2006/07,,,,,2007/08,,,,,2008/09,,,,,2009/10,,,,,2010/11,,,,,2011/12,,,,,2012/13,,,,,2013/14,,,,,2014/15,,,,,2015/16,,,,,2016/17,,,,,2017/18,,,,,2018/19,,,,,2019/20,,,
,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total,,Rank,Destination,Students,% of Total
,1,United Kingdom,"30,289",19.6,,1,United Kingdom,"30,143",18.7,,1,United Kingdom,"31,706",18.2,,1,United Kingdom,"32,237",16.8,,1,United Kingdom,"32,071",15.6,,1,United Kingdom,"32,109",14.4,,1,United Kingdom,"32,705",13.5,,1,United Kingdom,"33,333",12.7,,1,United Kingdom,"31,342",12.0,,1,United Kingdom,"32,683",12.1,,1,United Kingdom,"33,182",12.1,,1,United Kingdom,"34,660",12.2,,1,United Kingdom,"36,210",12.5,,1,United Kingdom,"38,250",12.6,,1,United Kingdom,"38,189",12.2,,1,United Kingdom,"39,140",12.0,,1,United Kingdom,"39,851",12.0,,1,United Kingdom,"39,403",11.5,,1,United Kingdom,"39,358",11.3,,1,Spain,"19,792",12.2
,2,Italy,"16,127",10.5,,2,Spain,"17,176",10.7,,2,Italy,"18,936",10.8,,2,Italy,"21,922",11.5,,2,Italy,"24,858",12.1,,2,Italy,"26,078",11.7,,2,Italy,"27,831",11.5,,2,Italy,"30,670",11.7,,2,Italy,"27,362",10.5,,2,Italy,"27,940",10.3,,2,Italy,"30,361",11.1,,2,Italy,"29,645",10.5,,2,Italy,"29,848",10.3,,2,Italy,"31,166",10.2,,2,Italy,"33,768",10.8,,2,Italy,"34,894",10.7,,2,Italy,"35,366",10.6,,2,Italy,"36,945",10.8,,2,Italy,"39,043",11.2,,2,Italy,"19,731",12.1
,3,Spain,"16,016",10.4,,3,Italy,"17,169",10.7,,3,Spain,"18,865",10.8,,3,Spain,"20,080",10.5,,3,Spain,"20,806",10.1,,3,Spain,"21,881",9.8,,3,Spain,"24,005",9.9,,3,Spain,"25,212",9.6,,3,Spain,"24,169",9.3,,3,Spain,"25,411",9.4,,3,Spain,"25,965",9.5,,3,Spain,"26,480",9.3,,3,Spain,"26,281",9.1,,3,Spain,"26,949",8.9,,3,Spain,"28,325",9.0,,3,Spain,"29,975",9.2,,3,Spain,"31,230",9.4,,3,Spain,"32,411",9.5,,3,Spain,"33,849",9.8,,3,United Kingdom,"19,147",11.8
,4,France,"11,905",7.7,,4,France,"12,274",7.6,,4,France,"13,080",7.5,,4,France,"13,718",7.2,,4,France,"15,374",7.5,,4,France,"15,602",7.0,,4,France,"17,233",7.1,,4,France,"17,336",6.6,,4,France,"16,910",6.5,,4,France,"17,161",6.3,,4,France,"17,019",6.2,,4,France,"17,168",6.1,,4,France,"17,210",5.9,,4,France,"17,597",5.8,,4,France,"18,198",5.8,,4,France,"17,214",5.3,,4,France,"16,462",4.9,,4,France,"17,185",5.0,,4,France,"18,465",5.3,,4,France,"8,528",5.2
,5,Mexico,"8,360",5.4,,5,Australia,"9,456",5.9,,5,Australia,"10,691",6.1,,5,Australia,"11,418",6.0,,5,Australia,"10,813",5.2,,5,Australia,"10,980",4.9,,5,China,"11,064",4.6,,5,China,"13,165",5.0,,5,China,"13,674",5.3,,5,China,"13,910",5.1,,5,China,"14,596",5.3,,5,China,"14,887",5.3,,5,China,"14,413",5.0,,5,China,"13,763",4.5,,5,China,"12,790",4.1,,5,Germany,"11,900",3.7,,5,Germany,"12,585",3.8,,5,Germany,"12,250",3.6,,5,Germany,"12,029",3.5,,5,Australia,"8,252",5.1
,6,Australia,"8,066",5.2,,6,Mexico,"8,078",5.0,,6,Mexico,"8,775",5.0,,6,Mexico,"9,293",4.9,,6,Mexico,"9,244",4.5,,6,Mexico,"10,022",4.5,,6,Australia,"10,747",4.4,,6,Australia,"11,042",4.2,,6,Australia,"11,140",4.3,,6,Australia,"9,962",3.7,,6,Australia,"9,736",3.6,,6,Germany,"9,370",3.3,,6,Germany,"9,544",3.3,,6,Germany,"10,377",3.4,,6,Germany,"11,010",3.5,,6,China,"11,688",3.6,,6,China,"11,910",3.6,,6,Ireland,"11,965",3.5,,6,Ireland,"11,777",3.4,,6,Ireland,"4,712",2.9
,7,Germany,"5,116",3.3,,7,Germany,"4,856",3.0,,7,Germany,"5,587",3.2,,7,Germany,"5,985",3.1,,7,Germany,"6,557",3.2,,7,China,"8,830",4.0,,7,Mexico,"9,461",3.9,,7,Mexico,"9,928",3.8,,7,Germany,"8,330",3.2,,7,Germany,"8,551",3.2,,7,Germany,"9,018",3.3,,7,Australia,"9,324",3.3,,7,Costa Rica,"8,497",2.9,,7,Ireland,"8,823",2.9,,7,Ireland,"10,230",3.3,,7,Ireland,"11,070",3.4,,7,Ireland,"11,492",3.5,,7,China,"11,613",3.4,,7,China,"11,639",3.4,,7,Germany,"4,512",2.8
