,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20
STEM Fields*,19.8,21.1,22.5,22.6,23.9,25.2,25.8,25.6,26.8,24.5
     Physical or Life Sciences,7.9,8.6,8.8,8.0,8.1,8.1,8.0,7.8,8.1,7.4
     Health Professions,5.3,5.7,6.4,6.0,6.3,7.1,7.1,6.9,7.1,6.0
     Engineering,3.5,3.9,4.1,4.6,5.0,5.1,5.3,5.2,5.5,4.3
     Math or Computer Science,1.8,1.7,1.9,2.1,2.2,2.4,2.8,2.9,3.2,3.8
     Agriculture,1.3,1.2,1.3,1.9,2.3,2.5,2.5,2.7,2.9,3.0
Business & Management,20.5,20.5,20.4,19.6,20.1,20.9,20.7,20.8,20.7,20.8
Social Sciences**,22.9,22.4,22.1,18.7,17.3,17.1,17.2,17.1,17.0,19.2
Foreign Language and International Studies***,-,-,-,7.8,7.7,7.4,7.3,7.1,6.9,7.8
Fine and Applied Arts,8.2,7.8,7.8,7.0,6.9,6.9,6.3,6.8,6.9,6.9
Communications and Journalism***,-,-,-,5.6,5.8,5.7,5.6,5.5,5.4,6.1
Humanities**,11.3,10.8,10.4,4.1,3.8,3.7,3.6,3.6,3.3,3.7
Education,4.2,4.1,4.0,3.7,3.5,3.4,3.3,3.3,3.1,2.4
Legal Studies and Law Enforcement***,-,-,-,1.5,1.6,1.5,1.6,1.5,1.6,1.4
Foreign Languages***,5.6,5.3,4.9,-,-,-,-,-,-,-
Other Fields of Study,4.8,5.0,5.2,6.7,6.8,6.5,6.8,6.7,6.8,6.2
Undeclared,2.7,3.0,2.7,2.6,2.6,1.9,1.9,1.9,1.6,1.1
Total,"273,996","283,332","289,408","304,467","313,415","325,339","332,727","341,751","347,099","162,633"
